Region,Holiday_Promotion,Population,Income_Level,Bakery_Count,Demand,Year,Holiday_Season
Black Sea,1,12524327,16830,2059,6441.906062755139,2021,0
Mediterranean,1,12142435,18663,2756,10694.836846194245,2015,0
Mediterranean,0,2278073,24759,4256,10506.405639910672,2017,0
Eastern Anatolia,1,14010158,5298,4522,4227.675687430788,2023,0
Central Anatolia,1,10911869,15233,4673,5317.599911608961,2015,0
Eastern Anatolia,1,7387179,2359,2691,4472.180228245747,2021,0
Mediterranean,0,11760056,22775,4411,16689.759701525792,2020,1
Black Sea,0,12403749,2809,4073,8065.161641015367,2017,0
Aegean,0,12962043,4198,4961,12527.469568720475,2018,1
Central Anatolia,0,8882170,20400,3752,5675.757915909274,2015,0
Marmara,0,7344790,22636,2637,11883.589484489748,2019,0
Mediterranean,1,12738783,23560,4461,8394.593040498094,2019,0
Southeast Anatolia,0,7505964,24617,4173,8614.705619843246,2022,1
Eastern Anatolia,1,4277820,14830,4534,4852.276437108952,2022,1
Marmara,1,3574110,15065,3258,23610.193755158794,2020,1
Eastern Anatolia,0,13750921,17297,4338,4645.835593100893,2016,1
Mediterranean,1,13907292,3814,1155,18063.587441150252,2016,1
Southeast Anatolia,0,12680209,18509,1087,8396.695907165667,2022,1
Central Anatolia,0,4459081,1976,2369,6640.197813006463,2020,1
Black Sea,1,12054673,11101,4552,11178.551466170344,2016,1
Eastern Anatolia,0,2270074,3874,2531,4817.001433151971,2022,1
Black Sea,1,9672796,12880,3601,6573.264251628707,2023,0
Eastern Anatolia,1,8611366,13551,3877,4793.256875939374,2023,0
Central Anatolia,0,1154075,21416,1611,5309.866479696647,2021,0
Eastern Anatolia,1,11894657,20271,1828,5178.987727319631,2018,1
Black Sea,1,13359026,24823,3831,6305.415965155633,2019,0
Marmara,1,11695066,20024,2684,13598.664985003825,2023,0
Black Sea,0,2561097,15759,1569,6630.46479050521,2015,0
Central Anatolia,0,7290875,15856,4138,6142.802381855697,2020,1
Black Sea,1,8624148,2040,1387,10695.644388808856,2014,1
Central Anatolia,1,10370112,2488,4032,8190.543494009078,2022,1
Aegean,0,5346206,19676,3710,8117.550776187213,2021,0
Aegean,1,9425259,16593,4023,8702.617417841207,2015,0
Aegean,0,8883884,10582,3686,11374.219037136552,2016,1
Eastern Anatolia,1,10183553,14551,3659,4413.684198997117,2019,0
Marmara,0,7297530,13257,585,21597.561533647135,2018,1
Mediterranean,0,5781416,8137,1783,16964.845686892204,2018,1
Central Anatolia,1,11942575,12749,3271,5207.687618144681,2019,0
Aegean,0,1562610,20545,4698,11025.534898875316,2014,1
Mediterranean,0,2028760,3777,1072,15291.415700041205,2022,1
Eastern Anatolia,0,14785563,3648,2348,3965.1768324779523,2023,0
Eastern Anatolia,0,7470769,3109,1390,4789.8074175532765,2020,1
Marmara,0,13921440,23637,642,21578.92729960562,2022,1
Eastern Anatolia,1,7508493,3112,1989,3963.9826887570107,2017,0
Eastern Anatolia,1,2896954,15742,3879,4362.402655189794,2021,0
Aegean,1,5935275,16321,2908,9401.593634709769,2019,0
Eastern Anatolia,1,1364273,7714,2802,5951.749753484768,2014,1
Eastern Anatolia,1,7953804,23878,2458,4833.14368621175,2023,0
Eastern Anatolia,0,12002421,18131,386,3975.6893340217734,2017,0
Aegean,1,5196852,4996,2125,12991.029556055304,2014,1
Eastern Anatolia,0,10667570,11591,1742,5396.662036712486,2014,1
Southeast Anatolia,0,4246275,17436,608,5934.076299556401,2017,0
Southeast Anatolia,0,2206528,5958,3828,6520.271046706147,2019,0
Black Sea,1,13700772,24708,3360,7677.596042084411,2015,0
Eastern Anatolia,0,10378149,12642,1885,3040.3318602269032,2015,0
Mediterranean,0,13574748,9968,1459,17062.43198171533,2014,1
Mediterranean,1,4882142,21369,2812,12062.879371277342,2021,0
Black Sea,0,6850526,9290,4781,6770.352140402942,2017,0
Southeast Anatolia,0,9875495,6005,3074,5305.625481919305,2021,0
Mediterranean,0,11269772,21737,1768,11521.595052990753,2015,0
Marmara,0,9192095,13180,1882,11824.972292726767,2023,0
Southeast Anatolia,1,13130029,15945,3525,6373.107069216101,2017,0
Aegean,0,1173443,18584,3073,8359.09787193211,2021,0
Marmara,0,2154280,19809,2040,15283.564633583974,2021,0
Marmara,0,9429463,8438,577,22645.683352421624,2016,1
Marmara,1,8013395,18238,2730,13435.29399247935,2015,0
Southeast Anatolia,1,4520346,19531,4898,6646.05494887402,2019,0
Black Sea,1,13134940,8203,3777,12563.126050751482,2018,1
Mediterranean,0,8784468,16489,4642,16843.71954514697,2018,1
Marmara,1,2731809,13980,1367,25812.428889714723,2014,1
Aegean,1,3946510,6700,875,13601.188233538998,2014,1
Central Anatolia,0,8896549,5406,712,5267.92887107585,2019,0
Southeast Anatolia,1,1047887,8311,241,6416.258299984681,2017,0
Central Anatolia,0,8981745,17506,1298,5084.662803491722,2023,0
Black Sea,1,7719982,2879,232,7171.686169517543,2023,0
Southeast Anatolia,1,7888505,9684,3503,9397.053219091038,2022,1
Aegean,0,9910937,13254,2850,12588.530792502186,2016,1
Southeast Anatolia,0,10889824,11344,138,5577.842492561674,2021,0
Black Sea,1,2535540,7463,3188,7800.488418551149,2019,0
Aegean,0,13047279,19604,1983,11558.844956236228,2016,1
Southeast Anatolia,1,4883492,11951,2861,5858.079512296626,2015,0
Marmara,1,7774589,1852,2442,13500.636242803934,2021,0
Black Sea,1,3230580,11851,3222,11615.94939435207,2020,1
Eastern Anatolia,1,13974285,12062,786,4585.562180770465,2014,1
Marmara,0,1408782,4537,214,22915.3440423725,2020,1
Central Anatolia,0,6098081,12371,2014,5775.214179651091,2020,1
Black Sea,1,2679613,22773,2845,12241.289172248049,2020,1
Aegean,1,2736509,22355,4068,13948.51925080451,2018,1
Mediterranean,1,3500944,7217,1136,9553.2009096241,2017,0
Eastern Anatolia,1,14227133,23500,3204,4775.308785752446,2021,0
Black Sea,0,8586596,14313,3656,6570.731703274436,2017,0
Marmara,1,14790633,7690,1468,11925.618930237819,2017,0
Eastern Anatolia,0,11427565,9204,1985,5146.44484128281,2014,1
Southeast Anatolia,1,8525957,7851,1033,7396.46329983072,2023,0
Southeast Anatolia,1,12445477,17576,1431,10371.556212402415,2020,1
Marmara,1,4609549,19063,612,22877.00304558828,2016,1
Central Anatolia,0,10348782,17298,3904,5084.78102758905,2019,0
Marmara,0,10953084,14967,936,11301.41162461307,2019,0
Mediterranean,0,10553065,8989,4411,15720.992773340486,2018,1
Marmara,0,7285612,6907,2189,22481.43832196837,2020,1
Black Sea,1,12525872,16397,1514,6601.757220528064,2019,0
Eastern Anatolia,0,13160342,7452,3697,4178.523869408975,2021,0
Eastern Anatolia,1,4340039,13858,4611,4534.216024585066,2022,1
Eastern Anatolia,1,14043505,19375,3087,3839.546684945285,2017,0
Central Anatolia,0,10348614,6062,4649,6925.003324782896,2018,1
Aegean,1,12401267,18983,4421,12085.840356020914,2018,1
Black Sea,1,4307704,22504,4180,9711.634768316515,2014,1
Mediterranean,0,1397177,23796,1996,15527.033055243734,2016,1
Central Anatolia,0,11980890,5367,1665,6115.606038664562,2014,1
Black Sea,1,8250461,15026,332,11029.43281166524,2016,1
Aegean,1,13722741,24725,4754,8953.705764765604,2017,0
Black Sea,1,1980853,11188,1283,9717.541669967739,2022,1
Southeast Anatolia,1,9791305,3680,864,5470.764989845504,2019,0
Aegean,1,3407135,24835,3200,8621.505093164173,2017,0
Eastern Anatolia,1,1172449,23932,899,4884.229498359824,2017,0
Marmara,0,7340262,17580,4738,11921.005034520991,2023,0
Mediterranean,0,14453810,8574,4835,9652.39751004497,2017,0
Eastern Anatolia,1,6207767,3844,4284,5161.358514773509,2019,0
Southeast Anatolia,1,13325861,17266,1495,10645.081213250314,2018,1
Black Sea,0,10115001,7504,1826,8106.917039603845,2020,1
Mediterranean,0,10376231,21629,2564,9721.02986443618,2017,0
Marmara,1,11575860,6877,468,24289.995629675883,2020,1
Aegean,1,13855321,23652,2396,7860.483356864041,2019,0
Aegean,1,2165498,4416,3708,12813.356219131323,2018,1
Black Sea,1,14226132,17310,734,7716.397997114553,2021,0
Marmara,0,9030998,2714,4906,21116.753633489894,2014,1
Marmara,0,6770088,16444,3140,10547.045507516723,2021,0
Central Anatolia,1,10416308,16420,3548,8199.768071834356,2016,1
Black Sea,1,12384594,5445,2068,7905.452943604959,2021,0
Southeast Anatolia,1,6978700,24878,4597,6032.92089686117,2015,0
Central Anatolia,1,7601326,23528,4275,7776.403257320825,2016,1
Eastern Anatolia,0,3407106,19045,2791,3967.5986015795443,2019,0
Black Sea,0,14143526,3465,3123,10771.919179232082,2016,1
Mediterranean,0,4513847,20122,2935,9895.706581162165,2017,0
Aegean,0,5077521,6107,1846,6819.100837187929,2019,0
Black Sea,0,5578830,3697,3340,6252.967205105301,2015,0
Southeast Anatolia,0,9082377,2467,4371,6684.649182886795,2023,0
Marmara,0,14535060,12586,4869,23830.76673499173,2022,1
Southeast Anatolia,1,6342181,12058,1898,5722.634920918573,2019,0
Mediterranean,0,12148289,24820,2488,18228.85979944588,2014,1
Southeast Anatolia,1,9253115,18718,4141,10915.52407644208,2014,1
Eastern Anatolia,1,4545871,20333,1974,4945.134302212763,2014,1
Mediterranean,1,9031615,3431,1034,17462.627726926145,2016,1
Mediterranean,1,5649601,15233,2191,8576.949523840289,2019,0
Mediterranean,1,2818805,5325,1319,10229.163256528374,2015,0
Mediterranean,1,2055392,16521,4572,10767.412661745919,2017,0
Eastern Anatolia,0,6002054,13584,1835,4123.723784990828,2021,0
Eastern Anatolia,0,6161631,8870,1560,4744.430660469643,2022,1
Marmara,1,12661149,17074,494,24089.66794275045,2014,1
Southeast Anatolia,0,8308749,15530,3067,5419.08498015964,2021,0
Black Sea,0,3797498,17877,652,7226.69427515436,2023,0
Eastern Anatolia,0,7889258,11371,3227,4673.260179908833,2017,0
Aegean,1,1733912,13352,4119,13780.068390467442,2022,1
Eastern Anatolia,0,5914514,9436,1107,4816.275652046123,2014,1
Black Sea,1,1814773,22330,2767,7129.757141813097,2019,0
Central Anatolia,1,8744699,20569,126,6895.096360953085,2014,1
Aegean,1,10406330,10078,1746,11468.012542067268,2022,1
Aegean,1,7233960,24487,4164,11291.766827904177,2020,1
Marmara,0,5526944,2068,214,21448.665107375044,2016,1
Marmara,1,12125988,16273,2788,13931.827919393776,2023,0
Eastern Anatolia,0,13933373,20907,1628,4389.283314372834,2016,1
Eastern Anatolia,1,9943939,14402,401,5911.359695735037,2016,1
Southeast Anatolia,1,2884322,10669,1292,9344.769577616356,2020,1
Mediterranean,1,8299858,11822,4027,17441.737363946228,2014,1
Mediterranean,1,8815099,11243,4960,12040.027374532468,2021,0
Black Sea,0,1597126,1728,522,9493.183688170677,2022,1
Central Anatolia,0,3494450,3572,4044,5313.790295274157,2015,0
Mediterranean,0,10394101,2196,2567,16916.25916684193,2016,1
Mediterranean,0,10963166,18449,4213,14921.711957819836,2022,1
Eastern Anatolia,1,14616769,16861,739,4115.296594364497,2017,0
Black Sea,0,4699822,16183,165,10997.92564951101,2018,1
Mediterranean,0,10740223,7345,504,11319.947920921892,2023,0
Marmara,1,13956333,13618,2282,14025.709375533133,2019,0
Marmara,1,13602267,3541,1051,12054.591522897308,2019,0
Aegean,0,4154391,10257,1960,13042.17262267535,2020,1
Marmara,1,3481222,13411,3920,23099.293742455317,2018,1
Aegean,0,14742094,8469,3468,6985.065235752234,2023,0
Black Sea,1,10212723,7893,2532,10093.642089017769,2020,1
Southeast Anatolia,0,10516306,13219,3742,8798.645922451886,2020,1
Black Sea,1,5422350,15056,4008,8536.643029801511,2015,0
Marmara,0,10095571,22825,2763,19866.54524010254,2014,1
Central Anatolia,0,14318863,13416,2875,5872.26229235092,2020,1
Central Anatolia,0,9839432,1718,2041,4758.622508948513,2021,0
Mediterranean,1,4506950,3960,2936,10865.919496723998,2023,0
Eastern Anatolia,1,7931673,5234,1415,4696.130991885299,2023,0
Eastern Anatolia,1,5177040,10115,2597,5581.183827200471,2016,1
Southeast Anatolia,1,12698604,18847,4455,5115.264867238969,2021,0
Eastern Anatolia,1,7421604,15927,2573,5092.129405663516,2020,1
Eastern Anatolia,1,2016152,8796,768,5345.422064126684,2022,1
Aegean,1,10792100,10083,937,8034.051024717406,2019,0
Southeast Anatolia,1,9048355,8764,3614,9127.358770277146,2020,1
Mediterranean,1,9910236,19800,2584,11687.039462892204,2023,0
Central Anatolia,0,3070990,5695,3890,5341.588389371046,2023,0
Mediterranean,1,2873928,17399,2676,10805.072716486564,2015,0
Black Sea,1,11824552,4468,1989,8009.491187545649,2015,0
Southeast Anatolia,1,7734703,22395,1351,10358.555461484533,2022,1
Southeast Anatolia,0,14403549,20022,4958,5341.908257500058,2023,0
Southeast Anatolia,1,1679619,8718,137,8827.402814298945,2018,1
Mediterranean,1,5151060,21827,187,16907.881418596575,2014,1
Eastern Anatolia,0,1265207,10612,2951,4467.364422724977,2014,1
Central Anatolia,1,14397390,2944,1285,6723.379161769945,2020,1
Black Sea,1,6518142,17696,984,7626.750597703454,2023,0
Marmara,0,9802056,21256,2087,21401.993037350523,2016,1
Black Sea,0,8546766,24401,2842,5207.679558220632,2019,0
Eastern Anatolia,1,8604462,20495,4455,5330.477627675566,2018,1
Marmara,1,7247890,11307,591,23161.393461278145,2018,1
Central Anatolia,1,9646767,5374,2637,7311.319018110235,2020,1
Black Sea,1,7808415,12194,4658,7206.47971117991,2021,0
Aegean,1,9365310,21787,390,12361.24694724555,2016,1
Black Sea,1,3804309,3650,4257,7399.28401926515,2019,0
Eastern Anatolia,0,5830154,21945,1540,4427.4278178050645,2019,0
Black Sea,0,6368760,15726,892,6708.242226430788,2017,0
Black Sea,0,8691180,23626,1073,7777.58191821683,2015,0
Aegean,0,9742373,6078,1668,13172.52233835496,2016,1
Mediterranean,1,11156086,7288,3047,17004.456063816535,2014,1
Mediterranean,0,2091999,10721,3865,15182.333499959419,2014,1
Eastern Anatolia,0,10506961,5593,4014,4571.431895149412,2016,1
Marmara,1,11558447,13882,2939,13009.831828051996,2019,0
Black Sea,1,11800819,21292,4169,7269.6886494695145,2017,0
Black Sea,0,3739561,5813,4123,7514.999558235876,2019,0
Eastern Anatolia,1,12041779,5044,3148,4939.065818238249,2020,1
Central Anatolia,1,5470455,8773,3358,7767.0706397690465,2016,1
Marmara,1,4513356,14380,690,11969.106931022981,2023,0
Central Anatolia,0,12906515,11158,3356,5416.1939737147995,2016,1
Mediterranean,1,7402939,18770,1353,14437.01951479924,2018,1
Central Anatolia,0,8505765,15002,3302,6148.774555473847,2014,1
Eastern Anatolia,0,2156665,12420,1012,4412.363810795103,2018,1
Southeast Anatolia,0,8511084,23034,3744,8232.529085335673,2018,1
Central Anatolia,0,5558664,21174,3537,7138.956833147035,2020,1
Mediterranean,0,6289594,11114,721,9268.482342814466,2017,0
Eastern Anatolia,1,8371564,1785,142,4242.166313570565,2016,1
Marmara,1,9937518,14825,4781,13945.46274071333,2021,0
Eastern Anatolia,0,8751921,10943,1014,4534.426921582089,2021,0
Aegean,1,10758776,7793,817,9195.877280185165,2021,0
Aegean,1,14409485,7043,2131,12315.430630989544,2018,1
Mediterranean,1,12845911,5072,1601,17902.011845635687,2014,1
Black Sea,1,3116619,22372,4571,7081.445446086617,2015,0
Black Sea,0,10766354,20743,317,8847.825879447739,2020,1
Marmara,0,1507415,7643,2549,21173.151506489372,2016,1
Eastern Anatolia,1,8848793,12301,1520,4374.929151068964,2019,0
Southeast Anatolia,0,3386818,2222,149,8817.492874419053,2020,1
Southeast Anatolia,0,8131907,9452,4769,7002.997132437131,2021,0
Eastern Anatolia,0,1498554,21933,2964,4820.540255119086,2016,1
Central Anatolia,1,3928104,24137,655,7836.214179709534,2014,1
Eastern Anatolia,1,3257847,23102,239,5382.028309299355,2019,0
Black Sea,1,14178550,14494,914,10269.520651284574,2022,1
