name,category,price,old_price,sellable_online,other_colors,short_description,depth,height,width,discounted,width_d,height_d,depth_d,discount_amount,size
FREKVENS,Bar furniture,265.0,265.0,True,No,"        Bar table, in/outdoor,          51x51 cm",46.925925925925924,99.0,51.0,0,1,1,0,0.0,5049.0
NORDVIKEN,Bar furniture,995.0,995.0,False,No,"        Bar table,          140x80 cm",46.925925925925924,105.0,80.0,0,1,1,0,0.0,8400.0
NORDVIKEN / NORDVIKEN,Bar furniture,2095.0,2095.0,False,No,        Bar table and 4 bar stools,46.925925925925924,97.57142857142857,52.945945945945944,0,0,0,0,0.0,1.0
STIG,Bar furniture,69.0,69.0,True,Yes,"        Bar stool with backrest,          74 cm",50.0,100.0,60.0,0,1,1,1,0.0,300000.0
NORBERG,Bar furniture,225.0,225.0,True,No,"        Wall-mounted drop-leaf table,          74x60 cm",60.0,43.0,74.0,0,1,1,1,0.0,190920.0
INGOLF,Bar furniture,345.0,345.0,True,No,"        Bar stool with backrest,          63 cm",45.0,91.0,40.0,0,1,1,1,0.0,163800.0
FRANKLIN,Bar furniture,129.0,129.0,True,No,"        Bar stool with backrest, foldable,          63 cm",44.0,95.0,50.0,0,1,1,1,0.0,209000.0
DALFRED,Bar furniture,195.0,195.0,True,No,"        Bar stool,          63-74 cm",50.0,97.57142857142857,50.0,0,1,0,1,0.0,2500.0
FRANKLIN,Bar furniture,129.0,129.0,True,No,"        Bar stool with backrest, foldable,          63 cm",44.0,95.0,50.0,0,1,1,1,0.0,209000.0
EKEDALEN / EKEDALEN,Bar furniture,2176.0,2375.0,True,No,        Bar table and 4 bar stools,46.925925925925924,97.57142857142857,52.945945945945944,1,0,0,0,199.0,1.0
FRANKLIN,Bar furniture,149.0,149.0,True,No,"        Bar stool with backrest, foldable,          74 cm",44.0,103.0,52.0,0,1,1,1,0.0,235664.0
INGOLF,Bar furniture,395.0,395.0,True,No,"        Bar stool with backrest,          74 cm",45.0,102.0,40.0,0,1,1,1,0.0,183600.0
NORRARYD,Bar furniture,395.0,395.0,True,No,"        Bar stool with backrest,          74 cm",47.0,103.0,46.0,0,1,1,1,0.0,222686.0
FREKVENS,Bar furniture,177.0,295.0,True,No,"        Bar stool with backrest, in/outdoor,          74 cm",53.0,104.0,43.0,1,1,1,1,118.0,237016.0
EKEDALEN,Bar furniture,345.0,345.0,True,No,"        Bar stool with backrest,          75 cm",52.0,114.0,43.0,0,1,1,1,0.0,254904.0
TOMMARYD,Bar furniture,695.0,695.0,True,No,"        Table,          130x70/105 cm",46.925925925925924,105.0,70.0,0,1,1,0,0.0,7350.0
HENRIKSDAL,Bar furniture,395.0,395.0,True,No,"        Bar stool with backrest frame,          74 cm",51.0,102.0,40.0,0,1,1,1,0.0,208080.0
KULLABERG,Bar furniture,140.0,175.0,True,Yes,        Stool,36.0,97.57142857142857,36.0,1,1,0,1,35.0,1296.0
JANINGE,Bar furniture,595.0,595.0,True,No,"        Bar stool,          76 cm",36.0,84.0,38.0,0,1,1,1,0.0,114912.0
FRANKLIN,Bar furniture,149.0,149.0,True,No,"        Bar stool with backrest, foldable,          74 cm",44.0,103.0,52.0,0,1,1,1,0.0,235664.0
EKEDALEN,Bar furniture,995.0,995.0,True,No,"        Bar table,          120x80 cm",46.925925925925924,105.0,80.0,0,1,1,0,0.0,8400.0
RÅSKOG,Bar furniture,175.0,175.0,True,No,"        Bar stool,          63 cm",44.0,63.0,44.0,0,1,1,1,0.0,121968.0
JANINGE,Bar furniture,595.0,595.0,True,No,"        Bar stool,          76 cm",36.0,84.0,38.0,0,1,1,1,0.0,114912.0
EKEDALEN,Bar furniture,796.0,995.0,True,No,"        Bar table,          120x80 cm",46.925925925925924,105.0,80.0,1,1,1,0,199.0,8400.0
EKEDALEN,Bar furniture,345.0,345.0,True,No,"        Bar stool with backrest,          75 cm",51.0,114.0,43.0,0,1,1,1,0.0,250002.0
EKEDALEN,Bar furniture,345.0,345.0,True,No,"        Bar stool with backrest,          75 cm",52.0,114.0,43.0,0,1,1,1,0.0,254904.0
EKEDALEN,Bar furniture,796.0,995.0,True,No,"        Bar table,          120x80 cm",46.925925925925924,105.0,80.0,1,1,1,0,199.0,8400.0
HENRIKSDAL,Bar furniture,695.0,695.0,True,No,"        Bar stool with backrest,          74 cm",51.0,102.0,40.0,0,1,1,1,0.0,208080.0
STENSELE / NORRARYD,Bar furniture,1340.0,1340.0,True,No,        Bar table and 2 bar stools,46.925925925925924,97.57142857142857,52.945945945945944,0,0,0,0,0.0,1.0
STENSELE,Bar furniture,550.0,550.0,True,No,"        Bar table,          70x70 cm",46.925925925925924,104.0,70.0,0,1,1,0,0.0,7280.0
NORRÅKER,Bar furniture,595.0,595.0,True,Yes,"        Bar table,          74x74 cm",46.925925925925924,102.0,74.0,0,1,1,0,0.0,7548.0
HENRIKSDAL,Bar furniture,435.0,435.0,True,No,"        Bar stool with backrest,          74 cm",51.0,102.0,40.0,0,1,1,1,0.0,208080.0
NORRÅKER / NORRÅKER,Bar furniture,1266.0,1385.0,True,No,"        Bar table and 2 bar stools,          74 cm",46.925925925925924,97.57142857142857,52.945945945945944,1,0,0,0,119.0,1.0
